model,training_step,compression_ratio
pythia-70m,step 1000,0.644
pythia-70m,step 8000,0.522
pythia-70m,step 32000,0.51
pythia-70m,step 128000,0.542
pythia-70m,step 143000,0.541
pythia-160m,step 1000,0.665
pythia-160m,step 8000,0.51
pythia-160m,step 32000,0.49
pythia-160m,step 128000,0.51
pythia-160m,step 143000,0.521
pythia-410m,step 1000,0.745
pythia-410m,step 8000,0.564
pythia-410m,step 32000,0.478
pythia-410m,step 128000,0.461
pythia-410m,step 143000,0.466
pythia-1b,step 1000,0.662
pythia-1b,step 8000,0.494
pythia-1b,step 32000,0.479
pythia-1b,step 128000,0.459
pythia-1b,step 143000,0.463
OLMo-1b,step 557000,0.439
pythia-1.4b,step 1000,0.748
pythia-1.4b,step 8000,0.542
pythia-1.4b,step 32000,0.518
pythia-1.4b,step 128000,0.458
pythia-1.4b,step 143000,0.462
pythia-2.8b,step 1000,0.707
pythia-2.8b,step 8000,0.506
pythia-2.8b,step 32000,0.471
pythia-2.8b,step 128000,0.453
pythia-2.8b,step 143000,0.456
pythia-6.9b,step 1000,0.72
pythia-6.9b,step 8000,0.496
pythia-6.9b,step 32000,0.491
pythia-6.9b,step 128000,0.454
pythia-6.9b,step 143000,0.458
OLMo-7b,step 738020,0.431
pythia-12b,step 1000,0.687
pythia-12b,step 8000,0.504
pythia-12b,step 32000,0.482
pythia-12b,step 128000,0.454
pythia-12b,step 143000,0.458
