model,training_step,compression_ratio
pythia-70m,step 1000,0.673
pythia-70m,step 8000,0.583
pythia-70m,step 32000,0.572
pythia-70m,step 128000,0.591
pythia-70m,step 143000,0.608
pythia-160m,step 1000,0.681
pythia-160m,step 8000,0.57
pythia-160m,step 32000,0.563
pythia-160m,step 128000,0.568
pythia-160m,step 143000,0.591
pythia-410m,step 1000,0.695
pythia-410m,step 8000,0.606
pythia-410m,step 32000,0.55
pythia-410m,step 128000,0.528
pythia-410m,step 143000,0.534
pythia-1b,step 1000,0.673
pythia-1b,step 8000,0.554
pythia-1b,step 32000,0.538
pythia-1b,step 128000,0.526
pythia-1b,step 143000,0.53
OLMo-1b,step 557000,0.503
pythia-1.4b,step 1000,0.691
pythia-1.4b,step 8000,0.58
pythia-1.4b,step 32000,0.564
pythia-1.4b,step 128000,0.527
pythia-1.4b,step 143000,0.53
pythia-2.8b,step 1000,0.673
pythia-2.8b,step 8000,0.561
pythia-2.8b,step 32000,0.531
pythia-2.8b,step 128000,0.523
pythia-2.8b,step 143000,0.526
pythia-6.9b,step 1000,0.686
pythia-6.9b,step 8000,0.563
pythia-6.9b,step 32000,0.558
pythia-6.9b,step 128000,0.523
pythia-6.9b,step 143000,0.524
OLMo-7b,step 738020,0.497
pythia-12b,step 1000,0.673
pythia-12b,step 8000,0.558
pythia-12b,step 32000,0.552
pythia-12b,step 128000,0.523
pythia-12b,step 143000,0.527
