model,training_step,compression_ratio
pythia-70m,step1000,0.695
pythia-70m,step8000,0.46
pythia-70m,step32000,0.439
pythia-70m,step128000,0.475
pythia-70m,step143000,0.466
pythia-160m,step1000,0.678
pythia-160m,step8000,0.44
pythia-160m,step32000,0.43
pythia-160m,step128000,0.433
pythia-160m,step143000,0.456
pythia-410m,step1000,0.77
pythia-410m,step8000,0.505
pythia-410m,step32000,0.404
pythia-410m,step128000,0.383
pythia-410m,step143000,0.391
pythia-1b,step1000,0.677
pythia-1b,step8000,0.424
pythia-1b,step32000,0.444
pythia-1b,step128000,0.376
pythia-1b,step143000,0.384
pythia-1.4b,step1000,0.752
pythia-1.4b,step8000,0.469
pythia-1.4b,step32000,0.443
pythia-1.4b,step128000,0.378
pythia-1.4b,step143000,0.385
