model,training_step,compression_ratio
pythia-70m,step1000,0.223
pythia-70m,step8000,0.176
pythia-70m,step32000,0.17
pythia-70m,step128000,0.173
pythia-70m,step143000,0.175
pythia-160m,step1000,0.218
pythia-160m,step8000,0.159
pythia-160m,step32000,0.149
pythia-160m,step128000,0.149
pythia-160m,step143000,0.15
pythia-410m,step1000,0.223
pythia-410m,step8000,0.148
pythia-410m,step32000,0.136
pythia-410m,step128000,0.129
pythia-410m,step143000,0.128
pythia-1b,step1000,0.207
pythia-1b,step8000,0.14
pythia-1b,step32000,0.128
pythia-1b,step128000,0.12
pythia-1b,step143000,0.12
pythia-1.4b,step1000,0.207
pythia-1.4b,step8000,0.137
pythia-1.4b,step32000,0.124
pythia-1.4b,step128000,0.115
pythia-1.4b,step143000,0.115
