model,training_step,compression_ratio
pythia-70m,step1000,0.601
pythia-70m,step8000,0.499
pythia-70m,step32000,0.492
pythia-70m,step128000,0.505
pythia-70m,step143000,0.513
pythia-160m,step1000,0.615
pythia-160m,step8000,0.483
pythia-160m,step32000,0.471
pythia-160m,step128000,0.482
pythia-160m,step143000,0.492
pythia-410m,step1000,0.668
pythia-410m,step8000,0.506
pythia-410m,step32000,0.461
pythia-410m,step128000,0.444
pythia-410m,step143000,0.447
pythia-1b,step1000,0.601
pythia-1b,step8000,0.47
pythia-1b,step32000,0.456
pythia-1b,step128000,0.436
pythia-1b,step143000,0.44
pythia-1.4b,step1000,0.643
pythia-1.4b,step8000,0.482
pythia-1.4b,step32000,0.47
pythia-1.4b,step128000,0.434
pythia-1.4b,step143000,0.436
