model,training_step,compression_ratio
pythia-70m,step 1000,0.251
pythia-70m,step 8000,0.197
pythia-70m,step 32000,0.211
pythia-70m,step 128000,0.218
pythia-70m,step 143000,0.197
pythia-160m,step 1000,0.231
pythia-160m,step 8000,0.302
pythia-160m,step 32000,0.201
pythia-160m,step 128000,0.237
pythia-160m,step 143000,0.238
pythia-410m,step 1000,0.335
pythia-410m,step 8000,0.192
pythia-410m,step 32000,0.225
pythia-410m,step 128000,0.198
pythia-410m,step 143000,0.198
pythia-1b,step 1000,0.21
pythia-1b,step 8000,0.183
pythia-1b,step 32000,0.219
pythia-1b,step 128000,0.187
pythia-1b,step 143000,0.177
OLMo-1b,step 557000,0.203
pythia-1.4b,step 1000,0.243
pythia-1.4b,step 8000,0.201
pythia-1.4b,step 32000,0.191
pythia-1.4b,step 128000,0.189
pythia-1.4b,step 143000,0.159
pythia-2.8b,step 1000,0.257
pythia-2.8b,step 8000,0.206
pythia-2.8b,step 32000,0.18
pythia-2.8b,step 128000,0.158
pythia-2.8b,step 143000,0.161
pythia-6.9b,step 1000,0.329
pythia-6.9b,step 8000,0.266
pythia-6.9b,step 32000,0.204
pythia-6.9b,step 128000,0.183
pythia-6.9b,step 143000,0.163
OLMo-7b,step 738020,0.151
pythia-12b,step 1000,0.322
pythia-12b,step 8000,0.284
pythia-12b,step 32000,0.22
pythia-12b,step 128000,0.165
pythia-12b,step 143000,0.158
