model,training_step,compression_ratio
pythia-70m,step 1000,0.207
pythia-70m,step 8000,0.158
pythia-70m,step 32000,0.153
pythia-70m,step 128000,0.161
pythia-70m,step 143000,0.162
pythia-160m,step 1000,0.195
pythia-160m,step 8000,0.143
pythia-160m,step 32000,0.136
pythia-160m,step 128000,0.138
pythia-160m,step 143000,0.141
pythia-410m,step 1000,0.211
pythia-410m,step 8000,0.134
pythia-410m,step 32000,0.124
pythia-410m,step 128000,0.12
pythia-410m,step 143000,0.12
pythia-1b,step 1000,0.187
pythia-1b,step 8000,0.13
pythia-1b,step 32000,0.121
pythia-1b,step 128000,0.116
pythia-1b,step 143000,0.116
OLMo-1b,step 557000,0.106
pythia-1.4b,step 1000,0.189
pythia-1.4b,step 8000,0.127
pythia-1.4b,step 32000,0.117
pythia-1.4b,step 128000,0.112
pythia-1.4b,step 143000,0.111
pythia-2.8b,step 1000,0.195
pythia-2.8b,step 8000,0.122
pythia-2.8b,step 32000,0.113
pythia-2.8b,step 128000,0.108
pythia-2.8b,step 143000,0.108
pythia-6.9b,step 1000,0.218
pythia-6.9b,step 8000,0.123
pythia-6.9b,step 32000,0.112
pythia-6.9b,step 128000,0.105
pythia-6.9b,step 143000,0.105
OLMo-7b,step 738020,0.099
pythia-12b,step 1000,0.213
pythia-12b,step 8000,0.121
pythia-12b,step 32000,0.11
pythia-12b,step 128000,0.104
pythia-12b,step 143000,0.103
