model,training_step,compression_ratio
pythia-70m,step 1000,0.695
pythia-70m,step 8000,0.46
pythia-70m,step 32000,0.439
pythia-70m,step 128000,0.475
pythia-70m,step 143000,0.466
pythia-160m,step 1000,0.678
pythia-160m,step 8000,0.44
pythia-160m,step 32000,0.43
pythia-160m,step 128000,0.433
pythia-160m,step 143000,0.456
pythia-410m,step 1000,0.771
pythia-410m,step 8000,0.505
pythia-410m,step 32000,0.404
pythia-410m,step 128000,0.383
pythia-410m,step 143000,0.391
pythia-1b,step 1000,0.677
pythia-1b,step 8000,0.425
pythia-1b,step 32000,0.444
pythia-1b,step 128000,0.376
pythia-1b,step 143000,0.384
OLMo-1b,step 557000,0.348
pythia-1.4b,step 1000,0.752
pythia-1.4b,step 8000,0.469
pythia-1.4b,step 32000,0.443
pythia-1.4b,step 128000,0.378
pythia-1.4b,step 143000,0.385
pythia-2.8b,step 1000,0.75
pythia-2.8b,step 8000,0.44
pythia-2.8b,step 32000,0.404
pythia-2.8b,step 128000,0.369
pythia-2.8b,step 143000,0.371
pythia-6.9b,step 1000,0.751
pythia-6.9b,step 8000,0.446
pythia-6.9b,step 32000,0.444
pythia-6.9b,step 128000,0.376
pythia-6.9b,step 143000,0.378
OLMo-7b,step 738020,0.33
pythia-12b,step 1000,0.72
pythia-12b,step 8000,0.444
pythia-12b,step 32000,0.414
pythia-12b,step 128000,0.376
pythia-12b,step 143000,0.382
