model,training_step,compression_ratio
pythia-70m,step 1000,0.223
pythia-70m,step 8000,0.176
pythia-70m,step 32000,0.17
pythia-70m,step 128000,0.173
pythia-70m,step 143000,0.175
pythia-160m,step 1000,0.218
pythia-160m,step 8000,0.159
pythia-160m,step 32000,0.149
pythia-160m,step 128000,0.149
pythia-160m,step 143000,0.15
pythia-410m,step 1000,0.223
pythia-410m,step 8000,0.148
pythia-410m,step 32000,0.136
pythia-410m,step 128000,0.129
pythia-410m,step 143000,0.128
pythia-1b,step 1000,0.207
pythia-1b,step 8000,0.14
pythia-1b,step 32000,0.128
pythia-1b,step 128000,0.12
pythia-1b,step 143000,0.12
OLMo-1b,step 557000,0.113
pythia-1.4b,step 1000,0.207
pythia-1.4b,step 8000,0.137
pythia-1.4b,step 32000,0.124
pythia-1.4b,step 128000,0.115
pythia-1.4b,step 143000,0.115
pythia-2.8b,step 1000,0.211
pythia-2.8b,step 8000,0.132
pythia-2.8b,step 32000,0.118
pythia-2.8b,step 128000,0.109
pythia-2.8b,step 143000,0.108
pythia-6.9b,step 1000,0.224
pythia-6.9b,step 8000,0.133
pythia-6.9b,step 32000,0.115
pythia-6.9b,step 128000,0.104
pythia-6.9b,step 143000,0.104
OLMo-7b,step 738020,0.097
pythia-12b,step 1000,0.223
pythia-12b,step 8000,0.131
pythia-12b,step 32000,0.113
pythia-12b,step 128000,0.101
pythia-12b,step 143000,0.101
